"District","Bim_Count","Migros_Count","Socioeconomic_Status"
"Adalar",2,1,68.75
"Arnavutkoy",58,2,25
"Atasehir",55,15,62.5
"Avcilar",49,10,43.75
"Bagcilar",73,11,31.25
"Bahcelievler",55,16,56.25
"Bakirkoy",11,25,81.25
"Basaksehir",34,14,37.5
"Bayrampasa",27,5,31.25
"Besiktas",11,19,87.5
"Beykoz",42,5,31.25
"Beylikduzu",46,13,50
"Beyoglu",20,8,68.75
"Buyukcekmece",33,14,56.25
"Esenler",38,2,25
"Esenyurt",113,14,37.5
"Eyup",40,6,43.75
"Fatih",39,13,50
"Gaziosmanpasa",53,3,31.25
"Gungoren",28,4,43.75
"Kadikoy",46,58,87.5
"Kagithane",51,2,31.25
"Kartal",63,14,46.25
"Kucukcekmece",68,21,50
"Maltepe",70,20,50
"Pendik",84,13,43.75
"Sancaktepe",58,5,31.25
"Sariyer",32,16,68.75
"Sultanbeyli",40,3,18.75
"Sultangazi",47,2,18.75
"Sisli",24,19,75
"Tuzla",29,14,50
"Umraniye",90,14,43.75
"Uskudar",58,18,68.75
"Zeytinuburnu",26,5,43.75
